PERSON_ID,MAJOR_PERSON,SPECILTY
2252,计算机网络与多媒体,"1. 有3年的外贸跟单工作经验,熟悉国际贸易的全套工作流程, 有较强的沟通能力, 能及时处理好客户所提出的疑问，工作认真严谨，善长于国际结汇的单证制做。2. 英语达CET-4级水平, 具备有较好的英语听， 说， 写， 译能力。3. 能熟练操作日常办公软件，photoshop， coreldarw 平面设计软件，ERP系统，让日常工作更便捷。"
2253,电子信息科学与技术,"计算机详细技能：  *熟练操作和运用OFFICE办公软件                           *熟悉电脑的硬件 其  它  技  能：     *对ASMAB****/****A/****及KS****/CT****等金铝线绑机晶驰****C固晶机调试及操作 熟练 *能熟练运用PDCA循环管理分析和解决问题,能够围绕QCDSM项目来展开管理. *能够严格控制4M1E保障产量与质量的稳定，能利用5W1H来分析问题和更准确的报告问题 *能够熟练运用QC七大手法对生产问题统计分析 *对各种突发异常能及时有效处理,减少不必要的浪费 *能够很好的适应环境,能够吃苦耐劳，有强烈的团队精神 "
2254,英语,"   1、具有一定的财务基础知识，有深圳市会计从业资格证书和深圳会计电算  证书；    2、会使用财务软件,熟练Excel,word等办公软件    3、参加过会计手工做帐培训，主要学习填制记账凭证并粘贴，记账凭证汇总表和T字账，登记银行日记账，现金日记账，明细账和总账及制作资产负债表和利润表及纳税等知识；4、具有良好的英语读写听说能力；5、熟悉办公室工作流程。             "
2255,平面设计,有专业的美术功底，擅长画册设计、书籍装帧、文字排版、宣传单张、折页设计，有较好的设计理论与审美能力
2256,会计电算化,1.扎实的会计专业知识，熟悉税法、经济法规；懂工商局、银行、税局等部门的业务操作；2.熟悉一般纳税人帐务处理和纳税申报，掌握运用增值税防伪税控操作系统、一般纳税人网上电子申报软件；3.掌握运用金碟、用友等财务软件，娴熟应用OA、PowerPoint、特别是Excel等办公自动化应用软件；4.熟练发票的辨别、开具、管理；具有往来帐务核算和费用成本核算管理经验；懂财务管理、纳税筹划知识；5.一年多中外合****公司工作经验（中远C****公司），熟悉第三方物流运作模式，掌握运用SAP系统和****信息系统。
2257,国际经济与贸易,英语，外贸操作
2258,高分子材料与工程,熟练使用Outlook、EXCEL、WORD、Powerpoint等办公软件。
2259,会计学,"对数据敏感,分析能力强，对工作认真细心，负责心强.上进心强。"
2260,财务管理,持有会计从业资格证。
2261,工民建,"熟悉工程软件并能熟练运用,掌握工程施工规范,并对理论与实践做总结."
2262,计算机科学与技术,一、熟练码头操作（闸口\堆场\查验场）部分；二、熟练使用COSMOS、OUTLOOK、POWERPOINT、VISIO；三、精通OFFICE及WINDOWS操作系统。
2263,英语,"1.具备一定的英语听，说，读，写能力，能用英语与别人直接的交流。2.熟悉外贸业务流程，特别是对建立新的客户，接单，订单的跟踪整个流程。3.做事认真仔细，忠厚老实。4.学习了计算机VB编程，能熟练的运用office,excel,photoshop等办公软件。我有一颗年轻拼搏的心，我相信我的努力终会取得成功！我会尽我最大的努力为企业谋取最大的利益！"
2264,【其他专业】,1、对办公软件Word、Excel熟悉使用；2、平面设计CorelDRAW 、Photoshop 基本绘图及图片处理。3、掌握日常人事、行政等事务操作。
2265,英语,計算機專業畢業 ， 計算機應用熟練國際貿易輔專業， 英語應用數量
2266,电子信息工程学,专业技能：  熟悉掌握模拟电子技术、数字电子技术和传感器原理，包括熟悉各类常用得电子元器件，能够熟练的对模拟、数字电路图进行分析，有较强的实际动手能力；熟悉avr、****单片机的原理和开发工具，有着扎实的编程基础，能熟练使用c语言、汇编语言进行单片机的系统开发；熟悉orcad和protel****se软件，能熟练运用进行原理图设计和pcb板的设计制作，了解制作多层电路板的技术；此外，对嵌入式系统、dsp技术、plc（三菱fx系列）都要一定的了解。计算机技能：   熟练掌握计算机offece****相关操作，有扎实的计算机基础，熟悉计算机软硬件；熟悉c并对c++也有一定的了解，编程能力良好，熟悉多种编程环境。 
2267,计算机应用技术,精通C、VB、DELPHI程序设计；精通SQL数据库存储过程和触发器的编写与数据库的管理，熟悉Oracle数据库管理与维护，对生产管理软件业务流程非常熟悉，能够根据生产需求业的务变动快速对生产系统进行二次开发，熟悉网络基本原理和常用电脑软硬件原理，并在这一块有着丰富的现场经验，能够快速解决常见网络及电脑软硬件问题
2268,国际经济与贸易,本人****年3月获得报关员资格证。    ****年3月获得报检员资格证。    ****年6月通过大学英语六级。    ****年****月通过大学英语四级。
2269,国际经济与贸易,"熟练操作各种外贸单证及整个业务流程,有多年的实际外贸工作经验.能利用有效平台,有针对性的发展新客户,洽谈接单."
2270,电子信息科学与技术,熟悉互联网和计算机基础硬软件，熟练photoshop、Dreamweaver、Fireworks、Flash等网站制作美工软件。熟悉掌握有关电子信息通信技术。
2271,电子材料与元器件,  熟悉电子基础，不良电子产品进行分析，维修编写生产作业指导书。协助工程师分析不良品的故障和解决方案！，
2272,电子信息工程学,"具多年专业工程实践经验，有较好的硬件基础，有较好的数字电路、模拟电路的分析能力，熟练使用各种专业工具。能够使用protel绘图。熟练使用焊接工具进行手工焊接。熟悉Soix单片机汇编语言编程。有电子闹钟(lcd显示)开发经验,熟悉IR,RF发射接收,和I2C,SPI通讯协议 "
2273,【工商管理】,可胜任管理、营销、人力资源管理、物流、贸易及活动策划等方面工作。也可以从事一部分与电脑相关的工作。☆ ****年7月   全国计算机等级二级☆ ****年3月   助理物流师资格证书☆ ****年7月   全国计算机等级一级☆ ****年7月   会计从业资格证(职业道德、会计基础部分)☆ ****年6月   机动车驾驶证C1
2274,电子信息工程学,    熟练掌握模电和数电的基本知识，能灵活运用基本的绘图软件，如Protle****se，AUTOCAD等专业绘图软件，以及简单的图像处理软件，如matlable等等。    熟习单片机知识，主要为****类型的单片机，能进行编程和单片机电路的外围电路设计。    能进行简单电路的独立设计，在校期间曾进行过电路设计方面的培训，并顺利结业。     熟练掌握EDA技术，精通VHDL语言，能利用VHDL语言进行电路的设计，毕业设计所做的工程就是利用VHDL语言进行电路系统的设计，最后得出仿真结果，下载到硬件进行验证，与理想结果一致，一次性通过毕业答辩。
2275,电子商务,"精通office办公软件如：WORD， EXCEL, Powerpoint;熟悉基本的ERP操作流程；能熟练操作photoshop和网页三剑客等网页制作的软件.工作一年多，我熟悉了采购的基本流程，而且对跟单也有较深的了解和实践经验。"
2276,会计学,熟悉办公软件、用友会计软件的操作，熟悉企业业务流程等
2277,信息管理与信息系统,◆信息管理与信息系统专业本科学历，一年以上JAVA开发经验。◆精通JAVA，J2EE，Struts2.0等开发技术，并能熟练应用JSP、Javabean、Spring、Hibernate、Struts和EJB等技术。◆熟练AJAX，样式表及XHTML，CSS，Javascript，Jquery，EXTjs等相关Web开发技术。◆熟练应用ORACLE，postgresql，MySQL，SQL SERVER等数据库，精通sql语法，并对查询进行调优。◆熟练使用Linux系统，能在linux进行开发和架设服务器，熟练shell语言，能利用来shell管理服务器。
2278,机电一体化,"  掌握了PLC编程控制及应用，电子技术，理论力学，材料力学，机械设计基础，，工厂供电，高等数学，大学英语,液压传动，机械制造基础，单片机控制及应用，C语言程序设计，机械制造工艺学，CAD/CAM/PRO/E,冲压工艺，自动控制原理与系统，电动及电力拖动，工厂电气控制设备等等.  获有CAD四级证书,数控技术职业技能证书!"
2279,人力资源管理, 人事、行政、宣传四年工作经验，熟悉人事行政相关模块，对绩效管理、劳动关系、行政事务、质量体系管理、培训等擅长。能承担大的工作压力，很好的执行力，擅长相关公文写作。* 熟练操作Word、Excel等办公软件、Photoshop\Coreldraw等设计软件，对网站建设、平面广告设计等宣传方面；曾在省级杂志上刊登广告作品，并组织建设了一个省级网站，一个企业网站及论坛。* 大学在校期间担任学院文学社社长，学校信息部编辑等学生干部，综合素质得到很好的历练，具备良好的组织管理，活动策划能力。* 文字功底好，良好的文笔， 文字编辑能力，信息敏感性强。* 工作中接触的人很好地交流，注重团队合作，高度负责。* 通过国家英语四级、剑桥商务英语中级，英语听说读写能力良好。* 学习能力较好，上进。
2280,计算机科学与技术,熟悉计算机网络，掌握局域网的组建原理，能够独立组建局域网。能够独立建立办公自动化系统和ERP系统
2281,模具现代制造技术,"计算机运用,模具制造,精通磨床，会磨锯齿"
2282,信息管理与信息系统,能用ASP、VB、C进行程序编写（有作品）
2283,军事学,1.熟悉企业人力资源、行政后勤管理  2.擅长企业文化的建设
2284,【计算机科学与技术】,  有品牌设计经验，平面设计，广告设计，装饰设计，产品外观设计，专卖店效果图设计。展柜设计，有展会设计经验。参加过香港电子展，德国电子展会设计。画册设计，说明书设计，彩页设计，海报等宣传用品设计，熟悉广告村料。熟悉印刷工艺材料。　   熟练计算机软、硬件操作，熟练Windows系统的操作、Office办公软件、Phostoshop图像处理、AI软件、CorelDRAW广告制作、AutoCAD绘图、3D-MAX装饰设计、.AI等，电脑组装、维护、维修、组建局域网等。 积极热情、责任心强，有较强的团队合作精神，有良好的职业道德及文化素养。 心里素质好，具有较强独立工作的能力。有一定的管理经验。   会开车，执C1照。
2285,【工商管理】,熟悉企业管理的基本流程与理论知识及项目管理的基本流程与理论知识学习能力与接受新事物能力强；工作具有计划性，工作效率高
2286,国际经济与贸易,专业描述： 专业主要课程表:市场营销学、国际贸易、国际金融、国际商法、国际贸易地理、国际贸易实务、外贸函电、单证英语、商务英语口语、货物运输与保险、HS商品分类、外贸单证实务、报关实务、货物运输代理实务、电子商务概论、仓储管理、国际货运代理、公共关系。 
2287,【电子科学与技术】,语言掌握:C# JAVA C/C++ 汇编 SQL 关于技术: 做过****和z****系统/winforms高级应用开发/C#+SQLSERVER三层结构/SQLSERVER/JAVA技术单片机接口编程 电路分析网络综合布线和分析软件设计 代码测试C#  + 数据库设计系统平台:Linux Windows uBuntu fedora等
2288,计算机应用技术,"本人有****公司工作的经历,对音响器材熟悉,有网络推广的工作经验!"
2289,自动化,   ****公司投标书的编写，对工程项目有了比较深入的了解。其中，我主要负责的是技术标的供配电部分，也参与了其他部分的编写，如工程量的计算、工程预算等。能熟练使用AutoCAD制图软件，office办公软件。
2290,会计学,语言能力：    普通话流利               英语水平：一般计算机能力：  全国计算机等级二级（获得二级证书）    其它技能：    ISO****质量认证标准（****、****、****）和SO****环境认证标准的培训
2291,计算机科学与技术,HTML  一般  ****月 IIS  熟练  ****月 Web Servers  熟练  ****月 Drivers  熟练  ****月 MS Office  熟练  ****月 Network  一般  ****月 LAN/ WAN  熟练  ****月 MCSE  一般  ****月 Windows NT/****  熟练  ****月 TCP/IP  熟练  ****月 VPN  一般  6月 Windows XP  熟练  ****月 Adobe Photoshop  熟练  ****月 PageMaker  了解  ****月 Dreamweaver  一般  ****月 Access  一般  ****月 Internet Explorer  熟练  ****月 MS Excel  一般  ****月 
2292,文秘,熟练操作各种Office办公软件Word、ExceL等、熟练操作打字、复印、传真等办公设备。有较好的语言及文字表达能力，良好的职业习惯。五笔打字熟练。
2293,计算机应用技术,熟练掌握电脑硬软件安装维护维修及周遍设备的安装维护、调试，熟悉Dreamwear MX、Flash MX、Photoshop CS、ASP脚本程序的开发及数据库的连接应用等等，对Office 办公软件也很了解，对于C语言、JAVA语言以及Visual FoxPro、Visual Basic有关数据库编程语言有深入的了解。
2294,计算机应用技术,计算机技能：熟练运用Office系列办公软件；了解常用的图形软件AutoCAD，Photoshop的操作
2295,会计学,我的专长是从事财务会计工作，对待工作、生活严谨细致、一丝不苟；具有优良的职业道德和团队合作精神。
2296,经济学,记账，现金日记帐，银行存款日记帐的登记，工资发放，报销审核等。能够运用计算机软件进行帐务处理，熟练office办公软件。
2297,电子信息科学与技术,电子产品维修、电路板制作、书法
2298,国际经济与贸易,　熟悉报关，报检，货代行业的流程．
2299,电子商务,熟练掌握office软件（如Word、Excel、Outlook等）、各类WINDOWS系统操作（如Vista、XP、****及各个版本）
2300,计算机应用技术,能熟练操作电脑，并熟练使用OFFICE办公软件和ERP系统。
2301,生物工程,受到良好的专业训练和能力培养，在分子生物学、微生物学及细胞生物学等各个领域有扎实的理论基础，以及具有相关的实验操作技能，会使用各种化学和生物仪器。
2302,电子信息工程学, 熟练掌握了移动通信网络结构和基本知识，对计算机机通信网络和交换机知识有深刻的理解。而且熟悉电路知识，包括模拟电路、数字电路、高频电路，掌握了基于PROTEL的电路设计等。也会使用常见的测试仪器！
2303,机电一体化,五笔打字速度****字/分.熟练运用办公软件及CAD制图软件。
2304,设计艺术学,1、熟练掌握CorelDraw 、Photoshop 、Illustrator 、3ds max等图形设计软件，即对办公设备的运用；2、擅长标志设计、版式设计与广告创意。
2305,计算机网络与多媒体,1.熟练OFFICE办公软件(Word.Excel.PPT)与计算机硬件，软件方面的知识 2.具有突发性问题的报告及专案的分析与写作能力 3.熟悉ERP系统 4.具有较强的交际能力，敏锐的洞察力
2306,计算机应用技术,"1.因为专业以及工作需要的原因,我熟练常用办公软件,如Excel . Word . Outlook Express .PHOTOSHOP .Coreldraw等"
2307,财务管理,     参加中国注册会计师考试，对所学会计知识有进一步系统、全面的学   习；并且已经通过财务成本管理。
2308,计算机应用技术,由于工作的关系现较擅长于销售方面的服务行业方面
2309,市场营销,懂銷售技巧﹐談判能力較好
2310,物业管理,管理，
2311,建筑技术科学,"施工CAD图的绘制,施工现场管理.采购管理及市场信息的调查."
2312,计算机科学与技术,1 学习能力较强，能够短时间内进入工作状态 2 思想敏锐，能够捕捉的客户细节，把握重点，面对困难，能够较快的做出调整。 3 性格开朗，因为之前工作的关系锻炼出于各种人打交道的技能，善于沟通。 4 思维灵活，不拘泥于细节，能够较好的把握工作内容的轻重。 5 有一定的职业素养。 6 性格外向，喜欢交朋友
2313,财务管理,会计专业工厂内的各项事务
2314,【艺术学】,舞蹈，形象设计
2315,国际贸易学,熟悉整个外贸流程以及各种外贸单证的操作，了解与国际贸易相关的理论及相应法规等。已拿到全国外贸业务员证，国际商务单证员。英语水平已达六级，口语流利。通过工作实践，熟悉了B2B平台的操作以及国际贸易实际操作流程。同时有参加国际展会的经验。
2316,电子信息工程学,"单片机,EDA,数字电路,高频电子,通信技术，PRO/E，低频电子等专业课程"
2317,会计学,"一般纳税人的帐务处理,熟悉进出品免抵退计算和消费税的免退计算等."
2318,办公自动化,计算机全国二级 优秀计算机全国三级  网络技术
2319,英语,在大学期间先后通过了英语专业八级，英语专业四级，大学英语四六级考试，并获得了剑桥商务英语中级证书，全国大学生英语技能大赛一等奖，获得学院优秀应届毕业生的荣誉。
2320,【中国语言文学】,熟悉营销体系懂沟通技巧热爱生活，充满激情
2321,【设计学】,色彩感觉好 装饰设计
2322,会计学,1、熟悉财政法规、税收政策、能独立进行生产企业及商品流通企业全盘账核算（包括建账、记账、 编制会计报表、财务分析 ）。  2、能独立完成申报纳税、办理退税、免税等事项  3、能对产品作出简单的成本核算及料、工、费等相关指标分析。  4、能熟练运用金蝶财务软件进行会计核算。  5、熟练掌握网上认证、网上报税、抄税等税务事项  6、能熟练操作免抵退系统、开票系统、企业电子报税系统、个人所得税系统、涉税通系统、加工贸易操作系统和久其软件  7、熟悉企业转型流程  8、****年度被评为东莞市众泰会计师事务所先进工作者。[已取得证书] 助理会计师证书 会计从业资格证书  中级会计电算化、全国计算机二级证书
2323,电气工程及其自动化,精通电子机电设备工厂的现场管理具有良好的组织和协调能力良好的产品成本管理的观念具有项目评估分析，预算和项目管理的能力能够使用：电子方面DXP Protel 、 机械方面Solid edge 及ERP管理系统的应用软件      
2324,会计学,持有会计从业资格证书英语四级已过英语口语三级已过
2325,计算机网络与多媒体,1.了解各大搜索引擎的搜索排名、PR规则、网站收录、网站流量、ALEXA排名等原理和方法2.熟悉各搜索引擎蜘蛛、爬虫的口味和喜好，掌握搜索引擎优化技术；3.熟悉各类网站推广技术，如论坛、博客、社区、交换链接、病毒式营销策略等网络推广。
2326,模具现代制造技术,熟练操作车，铣．磨，火花机等各种机床，能独立开模，维修塑胶模具
2327,设计艺术学,"熟练操作：CorelDraw, Photoshop，Word等； 能操作： Excel,AutoCAD, Illustrate等； 熟悉计算机硬件及网络管理。 熟悉画册、包装、丝印、移印等印刷工艺流程。"
2328,电子信息科学与技术,熟悉电子硬件设计（线路版的原理图及线路图设计） 熟练使用电子测量仪器。 熟悉OFFICE办公软件以及熟练使用INTERNET。 熟悉PCB设计，获得初级工程师职称。 熟悉电子CAD、电子元器件。 具有良好的组织和分析能力。 工作积极进取，认真负责。 适应环境快，接受能力强。
2329,软件工程,熟悉ASP.NET的基础知识， 熟悉VS ****、VS **** 开发环境，熟练使用MSSQL****、MSSQL****数据库，了解Oracle数据库的基本知识，熟练使用HTML、DIV+CSS对网站的前台进行编辑，熟练利用Microsoft Visual Source Safe ****进行文件的签入签出，熟练使用ASP.NET技术对网站的前后台开发
2330,【物理学】,"经过五年的工作实践，本人在品质控制方面积累一定的经验并具有较强的管理能力，特别是对制程现场的品质控制，如家电/五金类AEG、Ariete、Sunbean\Applica\Wal-mart等客户的小家电（电吹风、小型切菜机、果汁机、开罐机、真空吸尘器等电动产品）和内销的电磁炉、电饭锅，电压力锅、烤箱、电热水壶、豆浆机等小家电在制程中出现的品质问题能得到有效控制并且精通搅拌器、食物处理器、开瓶器,豆浆机、电热水壶的流程工艺，作业标准化制定，工时核定、品质控制、不良品分析等，熟悉现代企业的管理体系，特别是对品质成本和制造成本的控制有深入的了解，接受过国际质量体系认证的培训，并能推行ISO****的质量管理体系的正常运行，能熟练操作电脑办公软件!而且对UL、CE、IEC、CCC等认证的知识有一定的认识！管理方面的心得是：监督是执行力的灵魂，所有善于执行的人都会去监督组织所制定的计划落实情况。监督能够确保一个组织按照规划的时间进度表去实现目标。不断地监督和跟进，就能够有效地暴露出规划和实际行动之间的差距和问题，并迫使管理者采取相应的行动来协调和纠偏整个工作的进展，以期完成阶段性和整体性的目标。 "
2331,会计学,取得会计从业资格证书，能熟练运用用友ERP软件能较熟练地运用Word、Excel和Powerpoint等办公软件，取得计算机二级证书
2332,法学,法律专业知识扎实，逻辑思维能力强，文字功底好，愿意从基层做起。
2333,会计学,"****.****--****.****  佛山南*****公司   会****公司日常费用的审核报销工作，编凭证，做报表，工作严肃认真、一丝不苟的工作****公司老板的多次表扬。****.****--****.****  湖南大学会计师和注册会计师培训 并兼职会计工作 经过近****个月的理论培训，本人会计知识更加体系化，对会计法规、税务及经济法规有了更加综合、深刻的认识；同时，利用并兼职会计工作的机会，对培训期间的相关理论知识进行充分的实践，并在此期间成功一次性通过了会计师全部科目考试，取得了会计师资格证书。****.****--****.****  顺德本*****公司   成本会****公司所有材料的进销存管理,总部产品制造成本与销售成本的核算和控制,编制成本报表并,进行财务对比分析,制造成本:原材料的购进成本,领用原材料成本，制造费用分摊、人工成本的合****公司产品成本核算精确度提高了一个档次，为降低产品成本提供了基础.****.****-- ****.****  广州快捷*****公司   会计主管  主要负责：1.报销单据(采购报销及各项费用报销)的审核工作及员工结算工资的审核2.对出纳每天已付款单据进行审核确认及现金和银行存款余额进行确****公司各项工程款项支付的稽核4.对所有月结付款进行审核5.对所有材料入库及出库单据进行审核6.对所有的会计凭证(内账及税账)进行审核7.对月末账务(内账)处理,指各项计提费用及摊销8.负责(内账)的记账及结账工作9.配合经理进行税务筹划****.编制各项成本费用分析表****.票据的管理及会计档案的管理****.能独立操作全盘财务账(纳税申报)."
2334,电力电子与电力传动,对LCD和LCM检测设备和电池检测设备相当熟识，机器维修和发配电另对LCD装脚工艺相当熟悉
2335,电子商务,网站建设！平面设计！电子商务平台建设！网络推广!网络销售!电子商务技能的基本操作!Photoshop deamwerver flash 等软件操作!
2336,动画,二维、三维动画的设计与制作，纯FLASH动画网站的开发与制作，广告方案设计，视觉效果设计，后期特效合成制作等
2337,【电子科学与技术】,"熟悉电子线路维修，PCB的设计，,懂得MCS-****单片机及ARM嵌入系统方面的知识能进行简单的程序编写与烧录，有医疗床控制器电路项目的设计经验，熟悉Protel  单片机 cad 等常用开发软件"
2338,会计学,"本人从事会计职业已有3年多,熟悉各种行业的帐务处理及税务流程.精通OFFICE办公软件及金蝶财务软件.独立处理全盘帐务（记帐凭证、帐簿及会计报表），能独立处理国税、地税纳税申报工作。熟练使用“免抵退”系统，电子报税系统，网上认证系统，防伪开票系统   "
2339,电子信息工程学,"有较强的责任心和上进心,对工作认真仔细,能承受压力,有干一行爱一行的敬业精神和良好的团队合作精神,沟通能力强,精通office办公软件,能运用Protel **** SE 软件绘图，并了解CAD的基本功能，熟练使用电子仪器仪表的测试电子元器件，能看懂简单电路图及分析它的原理。并考取以下五个全国通用的职业资格证书:1电工中级证 2英语三级证 3办公自动化中级证4电子仪表调试维修工 5计算机辅助设计电子CAD证"
2340,土木工程,"1.具有较强的组织管理及协调能力，能吃苦耐劳。2.精通CAD绘图软件，能熟练的运用Word,Excel等软件。"
2341,自动化,1.精通C/C++等编程语言及相应的开发调试工具，获全国计算机等级考试二级、三级证书；熟悉各种常用软件，如Office、AUTOCAD、MATLAB、PROTEL、PHOTOSHOP等。2.熟悉windows/linux软件系统，熟悉office办公软件；3.熟悉TCP/IP协议、熟悉计算机网络基础知识以及相关的通讯协议；4.具备一定的硬件功底，有较扎实的模拟电路与数字电路基础；
2342,通信工程,干过仓管，电脑开单，手写单及其ERP等仓库业务都能够熟练运用；电子元器件的基本原理和电工、电子等方面的工具都能够熟练的运用。
2343,平面设计,熟悉使用Photoshop 、CorelDRW、Dreamwdaver、 CAD、 3D Flash 以及 Office办公等软件。会手写pop， 创意思维强，手绘能力强，有极强的团队合作理念。
2344,模具现代制造技术,铣床
2345,计算机科学与技术,"1、具备扎实的计算机基础知识；2、熟悉局域网的组建及日常维护;熟悉windows ****/**** server的配置与维护。3、熟练掌握主流网络设备（路由器、交换机、服务器、防火墙等）的配置、调试及故障排除；有Cisco网络技术学院培训经历，具备ca/cp以上资质；4、熟悉C/C++，汇编等编程语言，了解单片机原理，熟悉****系列单片机。5、熟练掌握办公自动化软件，熟悉Dreamweaver , Fireworks，Flash等应用软件的使用；                                     6、熟练掌握Access 、SQL Server等数据库的应用，熟练掌握HTML，XML，VBscript ， JAVAscript 等脚本编程语言            7、熟悉ASP技术，能够运用ASP技术独立完成中小型网站的设计与开发；熟悉Photoshop等图形图象处理软件的应用；"
2346,经贸英语,"英语熟练，具有良好的听、说、读、写能力。熟悉外贸基础理论知识、外贸函电与制单、外贸跟单操作实务、商务谈判、商务礼仪等知识，能够独立处理商务信函，懂外贸操作流程。能够熟练运用计算机办公软件如Excel、Word、Powerpint,photoshop , CorelDraw 等相关操作。"
2347,计算机网络与多媒体,辅助技能：持C1驾驶证。
2348,计算机科学与技术,"专业能力：1． 熟练操作Photoshop/Flash/Dreamweaver,并能使用Coreldraw/AI/方正奥斯/Cooledit等软件。2． 熟悉Windows****/XP/Linux操作系统，能熟练使用Microsoft Office办公软件3.  熟悉，Visual foxpro/C/C++/java语言编程，具有相关的应用程序软件开发和数据库系统的开发能力4.  对计算机硬件有相当的了解,可以独立完成机子的装拆和维修,及系统的安装;能解决一般的软件、硬件问题"
2349,金融学（含保险学）,会计水平:会计从业资格计算机水平：全国计算机等级考试二级（Access）
2350,市场营销,沟通交流、文字写作，数据分析！
2351,会计学,1、精通内、外资企业的帐务处理、合理避税、海关帐的平衡。2、有较强的解决具体问题能力，能在有效控制、降低成本费用方面提出建设性意见。3、熟练操作office办公自动软件、熟悉用友ERP、金蝶操作。5、持有C1驾驶证，能独立驾车外出办事。4、熟悉深圳各政府部门办事程序：　   a、在税务方面：熟悉国税、地税报税程序（一般纳税人申报、增值税“免、抵、退”等操作）　   b、在银行方面：熟悉企业融资、授信等手续、L/C开具与承兑.　   c、在外汇方面：熟悉进出口收汇、付汇核销、中国电子口岸系统。   d、熟悉高新技术企业、高新技术企业研发资助评审。　   e、在海关方面：参加过深圳海关****年组织的报关员培训、了解海关合同备案、 关封、转厂  等报关手续。
2352,财务管理,"﹡拥有会计资格证书，熟悉国家财经制度和相关政策法规﹡拥有中级会计电算化证书,熟悉会计信息系统的各子系统等﹡能熟练使用用友,金蝶等财务软件﹡拥有计算机技术证书,能熟练使用计算机操作系统（DOS、WINXP）和Word、Excel等﹡拥有英语二级证书，能熟练应用英语基础知识　﹡头脑灵活，善于分析，具有现代财务管理理念﹡性格开朗、责任心强，有强烈的敬业精神"
2353,电子商务,熟练掌握WindowsXP/****的基本操作；熟悉一些常用软件的应用，如Word、Excel等办公软件操作；能简单使用Photoshop CS编辑图片；能用Dreamweaver等制作简单的网页；
2354,自动化,"  专业描述:供用电技术主要培养掌握电力系统基础知识,电网运行,电气技术及其变电站综合自动化原理,能够从事工矿企业事业单位及****公司供配电运行,变电站及其配电房电气一次设计,电气设备的调试,维护,维修及其保养,工程技术管理方面的应用性专业人才. 开设主要课程:＜电力系统基础＞　＜变电站综合自动化＞　＜输配电线路设计＞　＜建筑电气＞　＜继电保护原理＞　＜高电压技术＞　＜电力及其拖动＞　＜发电厂与变电站电气设备＞　＜ＣＡＤ电气制图＞　＜Ｃ语言编程＞　　＜ＰＬＣ控制技术＞　＜单片机原理＞　 1.曾参与****KV变电站，配电房，开关站，箱变的设计。 2.单独操作****KV配电房值班。 3.在福建工厂参加电气设备维修及其保养。 4.能熟练操作CAD制图. 5.电力行业（发电厂、变电站）各部门从事设计、试验、运行及管理工作；机械、冶金、轻化、纺织、交通、建筑等各行业的设计、生产部门从事电力、电气的设计及电力设备的运行、维修和管理工作；各种工业企业自备电（站）、动力车间的供配电系统从事设计、运行、维修和管理工作。"
2355,公共行政管理,驾驶、写作、各种关系协调与沟通
2356,【电子科学与技术】, 精通单片机汇编语言及C语言，熟悉PIC、AVR、****、SONIX、EMC等单片机。电路基础扎实，熟悉PROTELL， PADS等电路设计软件会PCB设计。
2357,电子信息科学与技术,   电子技术毕业！！一年半的电子线路板维修经验！
2358,临床医学,    
2359,英语,能流利的用英语交流，听说读写能力强，掌握了国际经济贸易相关知识，具备报关员资格，熟悉货物进出口报关流程，能正确填制进出口报关单，及其他单证。
2360,国际经济与贸易,拥有<<国际货运代理员资格证书>>及<<会计从业资格证书>>
2361,电子信息工程学,"1.学会使用orCAD Capture、PowerPCB、protel对电路的设计。2.熟悉电子元件，熟悉模拟，数字电路，具有分析基本电路的能力。3.掌握电子信息技术基础知识与能力，电子产品的装配、调试及设计。 4. 熟练电子设备的安装、调试、维护与应用；对办公自动化设备的安装、调试、维修和维护管理5.掌握对通信设备、家用电子产品电路图的阅读分析及安装、调试、维护；具有对机电设备进行智能控制的设计和组织能力6. 熟悉软件工程思想，了解网络原理知识并熟悉网络协议TCP/IP协议；7. 计算机基础知识过硬，精通各种办公软件World、Excel、PowerPoint等，能解决各种软件、硬件问题。8.  熟悉C/C++语言编程，单片机编程、电子CAD  MatLab 6.5等软件操作.专业课程：模拟电子技术，数字电子技术，单片机原理与应用, C语言程序设计， protel教程，MatLab 6.5教程, AutoCAD设计基础,电路分析基础，电路分析基础实验,计算机网络,电子线路CAD，信号与系统，高频电子线路，数字信号处理，微机原理与应用，音响技术，通信原理，数据压缩技术，电子测量与仪器，激光原理应用,非电量检测技术,高等光学,光信息处理及应用,楼宇监控系统，车载系统，移动通信设备，数字电视技术，数字图像处理,计算机知识及应用初步，画法几何与工程制图，信息系统导论,大学物理."
2362,经贸英语," 英语四级,有一定的听说读写能力. "
2363,【电子科学与技术】," 维修经验丰富,善于分析生产线下线产品不良原因及控制不良率,熟悉生产工艺流程及各种测试程式.对售后服务返修品的维修和流程也非常熟悉,对返修产品的不良情况也有充分的认识,分析和解决能力.对X****系列产品有一定的认识."
2364,会计学,所修会计学专业，喜欢成本及财务管理等课程，日常工作中注重成本控制、核算和财务指标的分析
2365,英语,国家计算机三级（网络技术）
2366,英语,"擅长与人交流，懂得分析他人需求。能熟练操作Word,Excel,Photoshop等办公软件"
2367,电子信息工程学,"学习了电子 通信 计算机的基础知识,主要是电子知识,掌握了比较扎实的理论基础以及比较强的实际操作能力!!!"
