RECRUIT_ID,MAJOR_RECRUIT,DETAIL
143,电子信息科学与技术,2年以上8BIT单片机（SONIX）开发经验，硬件精通，对消费类电子产品有较深的认识，熟产品安规。
144,会计学,1、年龄在****-****岁；2、大专以上学历，有会计上岗证和中级会计师，财会工作经历6年以上；3、具有全面的财务专业知识，财务处理及财务管理经验，有账务处理和会计核算能力；4、精通国家财税法，谙熟国际和国内会计准则以及相关的法规、政策；5、反应敏捷，敢于负责任，有良好的职业道德和敬业精神，态度正****公司有长期合作的打算。6、能承受较大的工作压力，心理素质强，有沟通协调能力，善于团结协作，熟识电脑操作。
145,国际贸易学,外贸业务员要求如下：1.男女，年龄不限2.英语专业3.熟悉外贸流程如你符合以上****公司联系！
146,机械设计及理论,机械设计及相关专业大专以上学历，有二年机械行业作业流程、工艺编制工作经验，对机械设备制造、加工流程熟悉，能承受工作压力和耐劳，有较强的文字表达能力，沟通、协作能力好。
147,市场营销,我公司主要经营笔记本，手机，数码产品，现招聘外贸专业人事，要求：熟练操作网上各B2B平台，比如：EBAY，墩煌，雅虎，网上购物网等。工作1年****公司现有商务平台中国制造。诚邀敢于挑战的业务精英！
148,电子信息工程学,"会使用protel、pads、C语言,有开发过数码电池、笔记本电池优先。"
149,国际贸易学,１、2年以上营销工作经验，良好的业务拓展能力，懂进出口贸易销售流程。２、英语六级以上，诚信务实。３、有打印机耗材方面知识者优先。
150,金融学（含保险学）,"大专以上学历,保险\汽车\机械\法律等相关专业,身体健康,****CM以上,持C牌以上驾驶执照,并有一年以上驾驶经验,熟悉深圳市的道路交通状况,具有一定的车险理赔工作经验，持有公估证或汽车维修初级证者优先。"
151,【电子科学与技术】,"8BIT单片工程师,熟悉SONIX单片机的开发,从事小家电等电子消费类产品开发工作一年以上的工作经验,懂硬件优先考虑."
152,【经济学】,财经专业中专以上学历，应届生亦可；工作经验不限，经短期指导后能独立做账；工作细心、气质好，与政府部门办事要有耐心；能运用电脑办公软件和财务软件；有会计证、****公司****公司注册经验的优先。
153,办公自动化,"1.熟练WORD,EXCEL,PHOTOSHOP软件.2.认真,积极,有耐性."
154,土木工程,"职位描述：负责施工现场管理及工程部管理，能进行工程的预、结算。任职要求：****岁以上，电气或建筑相关专业毕业，持有项目经理资格证;具备施工现场管理二年以上管理经验，熟练应用电脑绘图软件,有大****公司工作经验;良好的组织协调能力,熟悉预、结算者优先;"
155,【电子科学与技术】,"1.高中(含)以上学历,年龄****岁以下,男女不限;2.二年仓库管理经验,熟悉仓库作业流程;3.电脑操作熟练,熟悉仓库帐目管理;4.能吃苦耐劳,能配合工作需要加班;5.责任心强,上进心强,工作细心,具备一定的沟通协调能力."
156,汽车工程,****-****岁，高中以上学历，具备汽车修理资格证书，具有丰富的汽车修理工作经验。
157,电子材料与元器件,"熟悉电子厂的运作流程,熟悉质量管理的理论与实践操作.能够配合研发工程师完成开关电源制样、制程（相关作业指导书及懂生产线工装治具制作，标准工时),有较强的工作主动性、责任心、团队合作精神及创新精神.有相关电源行业者优先录取。"
158,英语,此招聘信息由系统根据单位搜索条件自动生成！
159,电路与系统,（1）电子、计算机及相关专业毕业，本科以上学历；（2）具有很好的硬件电路设计基础、能熟练进行单片机、DSP软件编程，对常用单片机外围器件熟悉；（3）具有独立产品开发、设计能力，有多个产品的成功经历，2年以上专业产品研发发经验；   以上条件要同时具备，可投简历。（4）能同时有上位机软件编程经验者优先。与上述要求不符，请不要投简历     
160,【机械工程】,高中或中专以上学历，会看机械图纸，能独立操作铣床，有二年以上铣床加工经验。能吃苦耐劳，服从安排。
161,经贸英语,"1)有一定的外贸经验,做过类似的产品业务.2)外语流利,能跟客人自由对话!3)能够很好的安排工作,对分配的工作能及时完成!4)吃苦耐劳,能适应工作的需求!5)谈吐大方得体,能认真执行经理分配的任务!6)大专以上文化程度7)有腰带,手袋等相关产品工作经验的优先****公司目前在深圳关外布吉南岭,无意在关外工作,请勿投简历!"
162,会计学,一、大专及以上学历，三年以上工厂工作经验，有会计从业资格证，有两年从事成本会计工作经验，具备较强的研究学习能力，把财务工作的责任心作为自己执业的生命线。二、意志坚定，体力充沛，作风硬朗。能将沟通和合作当作最重要的工作手段来运用。电脑操作精通、财务软件熟练。熟悉成本核算及成本分析工作（注：无工厂工作经验勿投，谢谢合作）三、主要工作内容：1.核算产品销售报价2.期末盘点，结转当期成本3.期末出具产品销售毛利汇总表等
163,电子信息科学与技术,大专以上学历，电子类或市场营销专业优先，一年以上工作经验，能熟练操作计算机，具备良好的语言表达能力，具备开拓市场能力。
164,【电子科学与技术】,职位名称：硬件工程师职位概要：    设计、开发、调试、维护、管理符合功能、性能要求的硬件产品。岗位职责：    1、硬件平台的开发，主要包括器件的选型、详细设计、原理图的绘制、PCB检查、硬件板的调试等     2、硬件板的测试和支持系统测试     3、支持结构组完成规格设计 任职要求：    1、电子通信类或者相关专业本科以上学历，英语熟练；    2、三年以上从事硬件相关工作经验，有GPS研发经验者优先；    3、良好的产品意识，质量意识和客户意识    4、工作认真主动，态度积极，有较强的责任心，    5、善于沟通，较强的学习能力，具有良好的团队精神和协调能力。
165,会计学,一、大专及以上学历，三年以上工厂工作经验，有会计从业资格证，有两年从事成本会计工作经验，具备较强的研究学习能力，把财务工作的责任心作为自己执业的生命线。二、意志坚定，体力充沛，作风硬朗。能将沟通和合作当作最重要的工作手段来运用。电脑操作精通、财务软件熟练。熟悉成本核算及成本分析工作（注：无工厂工作经验勿投，谢谢合作）三、主要工作内容：1.核算产品销售报价2.期末盘点，结转当期成本3.期末出具产品销售毛利汇总表等
166,机电一体化,机电一体化及相关专业大专以上学历，有三年以上机械设备制造行业电气自动化开发设计工作经验，熟悉PLC编程及重要控制器件的配置维修，具有团队精神，学习沟通能力强。
167,设计艺术学,"1、美术或相关设计专业大专以上学历，2、2年以上平面设计经验，精通Photoshop、CorelDRAW、illustrator等平面设计软件，懂得CAD及3DMAX者可优先考虑；3、做事严谨踏实，具有良好的创新思路和表现能力，对作品质量负责；4、了解印刷行业，并具有丰富的印前、印中实际经验；5、个性积极、主动、责任心强、能承受工作压力,可独挡一面；6、有商场画册、海报、DM、书刊设计制作经验，有酒店用品、商场平面设计经验优先；"
168,电子信息工程学,"要求电子类中专以上文凭，为人诚恳，工作负责，熟悉PROTEL****自动排版系统；对计算机常规软件和网络知识熟悉，语言表达清晰,工作有耐心。"
169,市场营销,1、男女不限，大专以上学历2、语言表达能力强，英语听，读，说，写熟练，熟悉市场开拓流程，思维敏捷，具有市场营销售经验及客户沟通能力，有外贸销售工作经验者优先3、综合素质好，电脑办公软件操作熟练4、有责任心，能承受工作压力，具有吃苦耐劳精神5、能独立完成整个出口业务流程的操作，有效强的沟通技巧6、工作主动上进，责任****公司一切管理制度
170,英语,要求能用英语流利对话，６－８级，２年以上工作经验，会广东话和从事灯具照明行业者优先．欢迎光临我司网站
171,【计算机科学与技术】,"1、****-****岁，职高、中专以上学历，电子相关专业毕业，一年以上工作经验优先考虑！2、熟悉常见电子器件、电子原理图及PCB板，能熟练使用Office等办公软件；3、有较好的语言和文字表达能力，良好的分析解决问题的能力；4、为人诚实，沟通能力和客户服务意识强，具有吃苦耐劳和团队合作精神。乘****、****、****、****、****、****、****、****等路车海滨新村下即****公司在宝安中心区,不愿宝安上班的,请不要乱投简历,谢谢合作!简历请勿以附件形式发送，一定要注明应聘的职位！！！"
172,市场营销,高薪聘请：国际贸易专业，英语说写听能力强，有一年以上视听产品工作经验。能管理部门内相关工作，有车载产品销售经验者优先（高薪再加高额提成）。
173,【土木工程】,1、三年以上现场预结算经验，能独立完成房建、市政、安装工程预结算及工程变更签证工作，有预算员证、造价员证优先。
174,会计学,此招聘信息由系统根据单位搜索条件自动生成！
175,经贸英语,"1)有一定的外贸经验,做过类似的产品业务.2)外语流利,能跟客人自由对话!3)能够很好的安排工作,对分配的工作能及时完成!4)吃苦耐劳,能适应工作的需求!5)谈吐大方得体,能认真执行经理分配的任务!6)大专以上文化程度7)有腰带,手袋等相关产品工作经验的优先****公司目前在深圳关外布吉南岭,无意在关外工作,请勿投简历!"
176,市场营销,职位****公司品牌的整体策划2、策划具体市场推广方案2、组织、编制、实施的各种市场活动；任职资格：1、教育背景：市场营销或相关专业专科以上学历；2、培训经历：受过市场营销、市场调研、品牌策划等方面的培训；3、经验：有多年的市场调研策划及大型组织活动工作经验；1****公司3年以上的行销工作经验，工作风格追求实效；4、技能技巧：1) 具备良好的市场意识，对市场变化敏感，能敏锐抓住市场机会；2) 具备宏观规划能力，优秀的分析能力和策划及写作能力；3) 能够独立组织制定市场规划、市场销售策略、产品拓展等工作；4) 具备较强的口头及书面沟通能力；5、 态度：1) 积极主动、灵活应变、认真负责；2) 沟通协调能力强；3) 工作态度认真，能在较大的压力下保持良好工作状态，作风踏实严谨
177,经贸英语,"1)有丰富的外贸经验,做过类似的产品业务.2)外语流利,能跟客人自由对话!3)有一定的管理才能,可以掌控整个产品组的工作进展!4)吃苦耐劳,能适应工作的需求5)谈吐大方得体,能认真执行经理分配的任务!6)大专以上文化程度****公司在深圳关外布吉南岭村,无意在关外工作者请勿投简历!"
178,机械制造及其自动化,机械类及相关专业大专以上学历，有三年物料、生产进程管理和控制工作经验，有较强的筹划、统计、监管能力，能根据生产需要编制合理物料计划，并及时有效地对物料采购及成本进行分析、跟进、控制。
179,【电子科学与技术】,1 三年以上电子厂生产管理经验，熟悉电子行业的生产流程。2 大专以上学历，电子技术相关专业3 对人员的沟通及协调有良好的技巧。4 具有很强行政能力。
180,经贸英语,"1)有一定的外贸经验,做过类似的产品业务.2)外语流利,能跟客人自由对话!3)能够很好的安排工作,对分配的工作能及时完成!4)吃苦耐劳,能适应工作的需求!5)谈吐大方得体,能认真执行经理分配的任务!6)大专以上文化程度7)有腰带,手袋等相关产品工作经验的优先****公司目前在深圳关外布吉南岭,无意在关外工作,请勿投简历!"
181,日语,"1,有1年以上相关工作经验(无经验者勿投)2,日语国际能力测试2级以上3,有责任心,接受能力强,悟性高4,端庄大方"
182,电子材料与元器件,"业务员:2名,男女不限,高中以上学历,形象气质佳,有亲和力，能吃苦耐劳,能承受一定的工作压力,有电子元器件销售经验者优先!底薪+提成!"
183,人力资源管理,1.熟练运用人力资源管理的技巧.如人才测评等等.2.有很好的方案能为企业长期发展提供人力保障.3.熟悉生产型企业绩效考核4.对企业文化管理和企业内训有一定经验.
184,国际经济与贸易,"1.善良，端庄大方, 富有涵养; 大专/本科毕业.2.要求至少1年以上电子/数码/电器外贸销售经验;懂日语优先.3.英语专业优先.4.英文4-6级, 英文口语佳, 读写流利.5.勤奋，细心热情，虚心好学, 积极进取, 能承受一定的工作压力， 富有团队精神.6.工作地点: 深圳宝安中心区(南头关附近).7.有意者，请发英文简历和一张最近半年的个人生活彩色照片到电子邮箱"
185,计算机应用技术,1 机电一体化或电子应用专业 2 三年以上品质工程经验 五官端正 身体无残疾3 能熟练使用办公软件 4 能熟练运用品质管理手法； 熟悉产品的整个生产过程品质控制流程，并能制作相关的品质标准文件。
186,【建筑学】,大专以上学历、理解能力强、结构感强、有施工制图经验，熟练CAD软件、有上进心、责任心、敬业。
187,公共事业管理,1名；女性；****-****岁；中专以上学历；专业不限；半年以上同等职位工作经验；  1、未婚；  2、形象佳，仪表大方，身高1.6米以上，有亲和力；  3、电脑操作熟练，会说标准的普通话，语音甜美；  4、心细性格外向，做事认真，沟通与协调能力较强；  5、应届毕业生优先，具有较强的文笔功底。
188,计算机应用技术,面试待定
189,设计艺术学,1.熟练运用各种设计软件（FreeHand、ILLustrator、CorelDraw、Photoshop、3DMAX），2.大专以上学历，广告、产品开发设计等相关专业。三年以上产品开发或广告创意相关经验3.受过产品开发、市场营销、产品知识、消费者心理学等方面的培训。4.对产品开发设计流程、产品工艺流程、广告平面设计流熟悉。有美术功底。5.有进取心、工作努力、责任感强，高度的工作热情，勇于接受挑战，喜欢从事富有挑战性的工作。6.良好的沟通、协调能力和团队合作精神。7.有文案编写、品牌推广实践经验者优先。
190,生物医学工程,1、招聘2名，男女不限，年龄在****—****岁，身体健康；2、大专以上学历，医疗或化工专业，二年以上工作经验，普通话标准，熟练操作电脑办公软件，有实验室工作经验或熟悉了解实验室工作操作流程。3、性格开朗、工作认真、责任心及沟通能力强，有团队精神及电话营销经验者优先。
191,【电子科学与技术】,"1.高中(含)以上学历,年龄****岁以下,男女不限;2.二年仓库管理经验,熟悉仓库作业流程;3.电脑操作熟练,熟悉仓库帐目管理;4.能吃苦耐劳,能配合工作需要加班;5.责任心强,上进心强,工作细心,具备一定的沟通协调能力.工作地点：石岩"
192,英语,主要工作描述：协助总****公司事务。工作具体要求：1）大专以上学历，女；2）英文6级以上，读、说、写能力强。
193,计算机应用技术,"网络管理作业经验,懂电脑安装维护,彩页设计，能熟练运用CAD PHOTOSHOP等软件进行平面设计。"
194,电子材料与元器件,"****岁以上,有电子元器件采购经验者优先,能吃苦耐劳."
195,电工理论与新技术,1.能吃苦耐劳2.有电工证。3.有工厂电工工作两年以上经验.有塑料软管行业相关工作经验者优先
196,计算机科学与技术,1、精通C、C＋＋或C＃；2、熟悉网页设计；
197,工民建,熟练掌握专业知识。有生产管理经验且3年以上。善于沟通，有积极性。上进心****公司管理经验者优先。
198,国际贸易学,"1、性格活泼,举止大方,熟悉国际商业平台,有营销工作经验，良好的业务拓展能力，懂进出口 贸易销售流程。2、英语六级以上，诚信务实。3、有从事过外贸业务及打印机耗材方面知识者优先。"
199,会计学,大专以上学历，财务专业，能够吃苦耐劳，需要深户担保。
200,市场营销,任职要求：1、有5年的业务工作经验，有二年的业务团队领导经历；2、大专以上学历，形象端正、健谈、性格外向、处事稳健；3、对珠宝产品有喜爱者优先，是佛教徒者优先；4、须提供深圳户口担保；5、要求应聘者是从善从孝的人；6、工作职责：维护已经有的客户、并开拓新客户、协助下属完成当月的销售计划任务和年度工作计划、搜集行业中和市场的相关信息、对本部的工作绩效负责全部责任。
201,【地质学】,1、工民建、建筑工程、水利水电工程建筑、岩土工程等专业应届毕业或已毕业本科生或硕士研究生；2、性别不限；3、年龄不超过****岁；4、基础工资****元，基本工资约****-****元（基本工资=基础工资+学历津贴+岗位津贴+住房补贴+工龄补贴），若包住宿，扣除住房补贴。若不包住宿，住房补贴为****元/月；岗位津贴分5级。5、试用期3个月，期间只发基础工资及住房补贴；6、无法调动人事关系，人事档案资料需由本人自行临时存放于深圳市人才大市场等处。
202,人力资源管理,"1.对现代企业人力资源管理模式有系统的了解和实践经验积****公司人事行政的基本框架及制定部门长期/短期工作目标，并组织落实。2.组织、协助、****公司的各项决议及规章制度;3.****公司行政、人事管理制度****公司人力资源规划和招聘任务;4****公司各项培训工作; 5****公司企业文化建设；6.较强的分析、解决问题能力，执行力强,思路清晰，考虑问题细致；具有很强的人际沟通、协调、组织能力以及高度的团队精神，责任心强。"
203,汉语言文学,气质、文笔、语言、电脑均好。
204,【电子科学与技术】,1、电子相关专业，三年以上电子厂管理经验；2、熟悉车载MP3、数码产品组装流程;3、具有全面统筹工厂管理工作能力，确保产品品质并提升工厂效率;4、在中型企业从事过生产制造、人力资源管理。
205,【电子科学与技术】,1、三年以上工厂管理经验 。2、优秀的的沟通协调能力、书面及语言表达能力，善于应付各种突发事件，擅于内外协调； 3、具良好的亲和力及语言表达能力，富有团队合作精神及高度责任心，做事踏实勤勉，工作效率高。4、电子相关专业，同时具有生产管理经验者优先。
206,会计学,大专以上学历，财务专业，能够吃苦耐劳，需要深户担保。注：仅限女性，要求能够胜任工厂比较差的工作环境，身材在1.****米以上，能够胜任强度    比较大的统计和成本核算工作。
207,市政工程,有房屋建筑或市政工程资料整理及施工管理经理。工作地点深圳市宝安区。
208,桥梁与隧道工程,1、****-****周岁，相关专业大专或以上学历，助理工程师及以上职称；2、熟练使用办公自动化软件及CAD制图软件；3、能够熟练应用全站仪、经纬仪等各种测量仪器；能够独立完成测量资料，能够完成测量施工方案。 4、具有良好的职业素质、团队精神和沟通协调能力；5、熟悉市政工程，有隧道测量工作经验；6、要求常住工地。
209,电路与系统,"（1）电子、计算机及相关专业毕业，本科以上学历；（2）具有3年以上独立摄像机视频研发经验,能按要求完成摄像机视频研发.（2）具有很好的硬件电路设计基础、能熟练进行单片机、DSP软件编程，对常用单片机外围器件熟悉；（3）具有独立产品开发、设计能力，有多个产品的成功经历，2年以上专业产品研发发经验；   以上条件要同时具备，可投简历。（4）能同时有上位机软件编程经验者优先。与上述要求不符，请不要投简历"
210,经贸英语,本科以上学历，英语6级以上，英语专业，具备英语非常熟练的听说读写能力.并能熟练操作办公软件，能够独立开发海外客户。
211,英语,1、国家统招全日制本科毕业。商贸英语专业或者国际贸易专业。2、英语听说读写流利，英语证书必须6级以上。（此项不符者勿投简历）3、有至少一年一上外贸工作经验。4、有ALIBABA英文B2B网站相关操作经验。5、熟练使用PHOTOSHOP或相关图片处理软件。6、熟练使用WORD，EXCEL等相关办公软件。
212,电子商务,"市场营销或电子商务相关专业,有一年以上的网络销售经验.对网络销售流程熟悉,沟通能力强,对电子产品熟悉的优先考虑.而综合素质高的优秀的应届毕业生也可,敬业具团队精神.请将详细个人简历发送至"
213,英语,本公司是专业从事汽车电子产品为主的出口型企业.现因海外业务扩张需求，现招业务员4名，诚聘以下职位人员：1 英语六级或者专业四级 以上听，说，写流利，能够进行英语电话交流和信件往来。2 性格开朗、热情，有强烈的责任心和上进心。3 富有团队精神和市场开拓能力。4 底薪加高提成。5 接收应届毕业生，提供培养。
214,电子材料与元器件,有二年以以电源行业同职位工作经验，熟悉电源流程及品质体系要求，有现代生产企业品质管理理念和思想，实干且富有开拓精神，沟通能力好，能承受工作压力。有内审员资格证优先。
215,电子信息工程学,1、单片机开发工程师、嵌入式系统开发工程师；2、熟悉8位或****位单片机；3、可以兼顾软硬件开发；4、可以阅读英文资料；5、有设计经验者优先。
216,【化学】,具备扎实的基础理论和基本操作技能，能处理化学分析中常出现的问题，具有较强的学习能力和接受新鲜事物的能力，具备较强的逻辑思维和分析判断能力，能独立承担大型仪器的操作、分析、维护、管理工作，能初步判断仪器出现故障的原因，熟练操作电脑，熟悉常见电脑故障的处理，具备较强的文献检索能力，符合深圳市职员聘用的基本条件，具有相关工作经验优先，试用期3个月（****元/月），合格后参加市人事局职员入编考试。
217,电路与系统,我公司急招聘：维修，测试组，装技术人员  2名  年龄****-**** 懂电子电路PCB电路和烙铁技术，例如交换机 路由器 等网络设备主要负责生产管理，不懂电路，没经验的勿扰，感兴趣的朋友电话联系 谢谢！
218,国际经济与贸易,思想端正，品质优良，对工作认真负责，英语熟练，特别是英语口语要流畅，熟练photoshop 和 coredrawl。
219,计算机网络与多媒体,1、有丰富的网站策划、建设、推广、反馈处理、维护经验。2、熟悉展会订位等工作，有品牌销售网络推广工作经验。3、熟悉电脑和电话网络布线、故障处理及电脑软硬件维护。
220,电子材料与元器件,"大专以上文凭，有一定的电子行业工作经验，能吃苦耐劳,有LED电子显示屏销售经验者优先."
221,电子材料与元器件,"大专以上文凭，有一定的电子行业工作经验，能吃苦耐劳,有LED电子显示屏销售经验者优先."
222,电子材料与元器件,"1、入职一个月内能范围内其中有2-3个工序操作最快，做事连贯、利落,心胸宽广,凡事不斤斤计较。2、能在入职一个月之内熟练操作范围内的生产工具、设备、仪器，对生产工具、设备、仪器有简单维护技术。3、上班能在本组人员中第一个到现场，下班是最后一个离开岗位，开工前必须准备，收工时必须清理现场。4、有一定的数学计算能力，能根据工序单价及产量熟练计算出工资。5、在岗位考核期为上任当月及次月期间，如考核不能胜任要能服从安排到原工****公司储备骨干名单（享受储备骨干的相****公司下次再选用骨干时优先选用；6、思想品德好、责任心强、有组织能力、爱岗敬业、乐于奉献，生产上敢打敢拼，勇于打头阵，敢于管理、善于管理，能自觉激励自身，不断进步，不断提高；7、熟悉充电器、变压器等电源流程  "
223,公共事业管理,"1、年龄****-****岁，中专以上学历，工作经验1年。2、身高1.****以上,声音甜美,亲和能力强.3、对邮件接收，客户接待，电话接听有一定的了解。"
224,英语,本公司是深圳专业生产车载电脑，触摸液晶显示器，数控产品的生产厂商现诚聘外贸经理外贸人员数名
225,电子材料与元器件,"能够配合研发工程师完成开关电源制样,制程(相关作业指导书及懂生产线工装治具制作，标准工时),有较强的工作主动性、责任心、团队合作精神及创新精神，具有良好的学习扩展能力,熟悉Protel****等相关线路设计软件"
226,【管理学】,中型企业人力资源、行政工作经验3年以上，管理职务2年，有员工关系实操经验，熟悉人力资源6大模块，担任过人力资源主管、办公室主任、行政经理相关职务的优先录用。持C1驾照并熟练驾驶，性别不限，为人正直，工作主动积极，熟练运用办公软件及设备。服从上级工作安排并能独挡一面。条件符合者****公司面试，应届毕业生、无相关工作经验者不予考虑，请谅解。
227,【工商管理】,"熟悉房地产销售后续工作流程,有相关工作经验以及机动车驾驶证优先."
228,平面设计,"美术专业毕业,在相关行业有至少2-3年实际经验, 责任心强,工作踏实主动,具备协作通融的团队精神。平面设计师应熟练掌握Illustrator、Photoshop、Coraldraw、indesign 待遇：包午、晚两餐。提供房补或宿舍、年假、社保。工资底薪****加提成。注：谢绝应届毕业生"
229,机电一体化,熟悉PROE与CAD等绘图软件，能自已独立出新方案开发新设备，对机加工件与外发要熟悉，对开发非标设备有一定的经验，对自已岗位责任心要强。
230,【其他专业】,****公司****公司工作地点:南山区艾文葡萄酒名店 职位描述：年龄：****-****岁，，高中以上学历职位要求：1.诚实守信，敬业爱岗，热爱葡萄酒事业； 2.品貌端庄，具亲和力 3.具备服务行业的相关经验； 4.具备良好的沟通能力和团队协作能力； 5.有葡萄酒销售经验者优先；
231,企业管理,大专以上学历、男性。懂企业管理、擅长企业经营、有较强的协调能力。善于沟通、有极强的事业心责任心、有一定的体育工艺工程管理经验。
232,电子材料与元器件,"思想端正，品质优良，吃苦耐劳,对工作认真负责,有采购工作经验,熟悉数码产品及手机者优先考虑。"
233,企业管理,"在深圳有一定的实践销售工作经验,及社会阅历,项目洽谈,公共关系协调能力.气质形象较好,谈吐能力较强.男女不限."
234,电子商务,"电子商务专业的应届或有工作经历的有志于网络营销工作的有识之士,都欢迎加盟."
235,经贸英语,要求身体健康，相貌端正；要求工作认真，能吃苦耐，有团结合作精神；如有外贸文职工作经验者优先。
236,会计学,1、男/女，****-****，3年以上餐饮、酒店会计相关岗位工作经验；2、财务会计或相关专业中专以上学历；3、对餐饮、酒店财务管理有一定的了解；4、较熟练使用餐饮财务软件和办公软件；5、熟悉会计制度和税法及财务核算的整个流程，能够独立完成对外报表、酒店内部的财务管理和财务核算工作，能独立操作整个酒店的财务核算；6、工作严谨细致、踏实认真、责任心及团队合作意识强；
237,微电子学,有电子电路和熟练焊接生产经验，有维修经验优先；
238,【计算机科学与技术】,"1)有一定的相关产品跟单经验,能及时反馈相关的产品问题!2)略懂英文,有相关的产品知识!3)能够很好的安排工作,对分配的工作能及时完成!4)吃苦耐劳,能适应工作的需求!5)谈吐大方得体,能认真执行经理分配的任务!6)中专或高中以上文化程度7)有手袋,腰带,发饰等工作经验的优先考虑****公司目前在深圳关外布吉南岭,无意在关外工作,请勿投简历!"
239,会计学,"会计专业,助理会计师以上职称,有深圳会计证,五年以上工业企业全盘帐务处理经验,熟悉税法及深圳各项税务政策,了解深圳税务部门的办事流程,熟练运用办公软件及金蝶财务软件,有一定的社交能力"
240,计算机网络与多媒体,"1）懂B2B,C2C网络推广及刷新网页排名， 源代码****公司网络及制作logo等3）租用空间和网站建设，搜索引擎化，网络广告投放，整全营销4）懂google等非中文的网络推广和投放广告5）英语4级以上6）有在大****公司工作经验"
241,【航空宇航科学与技术】,汽车设计经验优先
242,会计学,财经专业中专以上学历，应届生亦可；工作经验不限，经短期指导后能独立做账；工作细心、气质好，与政府部门办事要有耐心；能运用电脑办公软件和财务软件；有会计证、****公司****公司注册经验的优先。
243,电子材料与元器件,"有成品核算和往来账处理经验,熟悉电子材料（有电子厂工作经验,并接触过电子件）往来账处理即可。（持深圳会计证）注:此职位在关外上班(公明工厂),无意到关外工作者勿投!"
244,会计学,会计或财务管理专业大专以上学历，有二年以上全盘财务工作经验，能熟练进行往来、成本等帐务处理，熟悉办税程序，工作责任心强，耐心细致，有消费类行业工作经验者优先。（工作地点在南山区）
245,电子信息科学与技术,熟悉变频器工作原理，有现场调试经验，熟练运用PLC
246,电子材料与元器件,"****-****岁,中专以上学历，形象气质佳、优雅大方、声音甜美，有娴熟的沟通能力，能说流利的普通话及白话,有团队精神，能吃苦耐劳,能接受出差到广东范围内,有组织能力以及良好的职业道德修养,有1年以上的相关工作经验，熟悉充电器、开关电源销售者优先。"
247,【电子科学与技术】,会使用protel、pads等软件，有开发过大功率、开关电源经验。
248,【电气工程】,电子或机电一体化专业，有电子行业相关经验，一年或一年以上工作经验，动手能力强，能吃苦耐劳试用期：****-****元/月                      转正后：计件/实计工资****-****元以上/月
249,日语,"1)有开发海外客户经验者2)日语二级以上,口语佳3)形象好,气质佳4)有责任心5)无经验者勿投"
250,平面设计,"要求：1中专或中专以上学历,普通话流利2、语言表达能力强,能吃苦耐劳,善于交流,具有团队合作精神. 3、熟练操作Office办公软件。4、熟练操作平面设计软件：corel9与photoshop7,有美术功底优先！"
251,电子材料与元器件,1、业务工作经验1年以上；2、有电子商务、电话营销，上门拜访工作经验优先；   （必须符合此三项当中任意一项）3、性格外向，做事果断。
252,【计算机科学与技术】,"从事计算机通信维护工作一年以上经验,对交换机、数据库有所了解"
253,【土木工程】,关于建筑工程的任何专业，熟悉深圳市市政工程资料，定额的优先。
254,【电子科学与技术】,1、本科以上学历，电子、通信类专业，3 年以上技术研发工作经验。2、熟悉国际及国内LED技术发展趋势，具备较强的实际工作能力。3、负责研发（光学、结构、电源、大功率发光管封装）及部门管理。4、具备较强的管理能力、人才队伍培训能力。5、待遇面议。6、工作地点：郑州，有意者，请直接电话联系。
255,电子材料与元器件,"  ****-****岁,中专以上学历，形象气质佳、优雅大方、声音甜美，有娴熟的沟通能力，能说流利的普通话及白话,有团队精神，能吃苦耐劳,能接受出差到广东范围内,有组织能力以及良好的职业道德修养,有1年以上的相关工作经验，熟悉充电器、开关电源销售者优先。  "
256,土木工程,1、土木工程相关专业毕业，具有初级及以上职称；2、具有大型房建或公共建筑监理经验；3、取得中华人民共和国住房和城乡建设部颁发的注册执业证书或取得全国注册监理工程师任职资格者优先；4、热爱监理行业。
257,【计算机科学与技术】,一、要求：1.正规大专（含）以上学历；计算机，电子工程，采购、供应链管理或国际贸易专业，英文读写熟练优先；2.具有电子器件、PCB、塑胶、五金件等产品采购经验一年以上；3.熟悉品质管理及ISO品质管理体系；4.熟悉供应链管理，对供应商管理，成本控制，库存管理等方面有丰富经验。5.品行良好，思路缜密清晰，良好的分析技巧和沟通技巧，较强的问题解决能力，工作积极主动，能承受较大的工作压力，为人正直，具备高度的责任感和良好的敬业精神，具备优秀的谈判能力和，良好的团队服务意识和对企业忠诚度。6.优秀的产品搜索能力，学习能力强，自我控制能力****公司管理，适应规范的采购管理体制，熟悉本地、周边地区采购市场。7.能独立开发/评估/考核供应商；具备较强的采购工作管控能力，有OE****公司的采购和评估经验优先录用。二、工作职责：1.负责审核评估现有的供应商以及新供应商的开发和商务****公司的采购战略进行供应商的管理和维护，确保在整个周期内提供合理的价格、质量和服务，确保所需产品的准时到货；2.负责对产品的****公司市场需求和计划实施采购，参与供应商的资格评定及管理； 3.确保以生产计划为基础进行具体的生产任务实施及效率的提高；4.负责采购产品的成本控制；5.负责收集市场信息，了解行业动态，能独立开展业务。
